Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-06-27,ETH,1946.1526657902,1830.330517619,1948.5458396749,1807.5894379089
2021-06-28,ETH,2096.7913438084,1982.7644594785,2143.5382270674,1962.2847293145
2021-06-29,ETH,2181.5038145863,2083.9630100119,2245.49143477,2075.0068987084
2021-06-30,ETH,2257.3065136491,2164.8266655425,2286.6071008078,2088.8615406966
2021-07-01,ETH,2127.71159805,2275.6890041796,2276.0127121458,2076.6347021653
2021-07-02,ETH,2116.9506026868,2107.2798580994,2138.2513863755,2019.6215918174
2021-07-03,ETH,2197.4317962958,2154.535721546,2237.8682478107,2123.3536669546
2021-07-04,ETH,2366.4015017922,2226.2804754731,2382.8168005139,2189.6336830798
2021-07-05,ETH,2236.6980105497,2321.5582729824,2322.7306043613,2159.6920766154
2021-07-06,ETH,2313.5091511394,2196.6100120506,2348.7197386907,2193.8835540429
2021-07-07,ETH,2330.3799294583,2321.8335613901,2398.5219585414,2294.3231810187
2021-07-08,ETH,2097.3263719587,2317.0042122579,2324.6568222651,2085.8049441718
2021-07-09,ETH,2159.8743034529,2115.8986821425,2183.4843461886,2048.3033197321
2021-07-10,ETH,2113.7265413839,2146.9045783472,2191.3118053585,2075.5169623221
2021-07-11,ETH,2152.3916045837,2110.5623590613,2172.1602529052,2082.0296855053
2021-07-12,ETH,2035.0778418152,2139.9510719316,2167.261181443,2006.717627435
2021-07-13,ETH,1935.5846562342,2031.101765213,2044.8816712155,1917.8429874971
2021-07-14,ETH,2008.5734332562,1940.1117349852,2020.4295610458,1866.109438093
2021-07-15,ETH,1925.2901262112,1995.3618230341,2040.7199651504,1882.4657272139
2021-07-16,ETH,1882.4577697959,1919.2151917049,1965.1927677701,1851.9164140814
2021-07-17,ETH,1901.7229221596,1877.0256251919,1916.6168439046,1849.1497865717
2021-07-18,ETH,1890.6749303755,1900.2353422644,1993.3270015763,1880.7062066399
2021-07-19,ETH,1829.12505726,1891.8721795756,1919.7600096929,1805.1087717042
2021-07-20,ETH,1776.8790098079,1818.9912048006,1842.1887144093,1721.8662268083
2021-07-21,ETH,1968.4738988221,1787.1551583646,2032.8412134046,1755.8374940661
2021-07-22,ETH,2005.7264606435,1996.4642176057,2047.1763803443,1951.5228959998
2021-07-23,ETH,2079.9505524664,2025.4318156905,2094.9623221005,1997.4371927057
